"","IAGAcode","site_name","geolat","geolon","CGMlat","CGMlon"
"1","ABG","Alibag",18.62,72.87,12.19,145.59
"2","ABK","Abisko",68.35,18.82,65.29,101.98
"3","AMS","Martin de Vivias",-37.8,77.57,-49.1,138.76
"4","AND","Andenes",69.3,16.03,66.53,99.89
"5","API","Apia",-13.8,-171.78,-15.59,-97.2
"6","ASC","Ascension Island",-7.95,-14.38,-10.37,56.47
"7","ASP","Alice Springs",-23.77,133.88,-34.06,-152.63
"8","ATU","Attu",67.93,-53.57,74.19,38.37
"9","BDV","Budkov",49.07,14.02,44.4,89.37
"10","BEL","Belsk",51.83,20.8,47.55,96.06
"11","BFE","Brorfelde",55.62,11.67,52.03,89.51
"12","BJN","Bear Island",74.5,19.2,71.47,107.94
"13","BLC","Baker Lake",64.33,-96.03,74.01,-32.85
"14","BMT","Beijing Ming Tombs",40.3,116.2,34.81,-170.72
"15","BOU","Boulder",40.13,-105.23,49.04,-40.52
"16","BRW","Utqia?vik",71.3,-156.75,69.95,-109.37
"17","BSL","Bay St Louis",30.35,-89.63,41.23,-19.39
"18","CBB","Cambridge Bay",69.1,-105,77.32,-51.99
"19","CBI","Chichijima",27.15,142.3,19.83,-146.53
"20","CDC","Cape Dorset",64.2,-76.6,73.54,2.26
"21","CHD","Chokurdakh",70.62,147.89,65.11,-146.75
"22","CLF","Chambon la foret",48.02,2.27,43.42,79.46
"23","CMO","College",64.87,-147.86,64.99,-96.46
"24","CNB","Canberra",-34.1,150.7,-43.93,-131.74
"25","CSY","Casey",-66.28,110.53,-80.79,156.4
"26","CTA","Charters Towers",-20.1,146.3,-29.15,-139.4
"27","CZT","Port Alfred",-46.43,51.87,-53.25,106.05
"28","DAW","Dawson City",64.05,-139.11,65.94,-86.42
"29","DLR","Del Rio",29.49,-100.92,38.87,-34.04
"30","DMH","Danmarkshavn",76.77,-18.63,77.15,85.12
"31","DOU","Dourbes",50.1,4.6,45.79,81.68
"32","DRV","Dumont Durville",-66.67,140.01,-80.65,-124.47
"33","DRW","Darwin",-12.4,130.9,-21.53,-156.74
"34","ESK","Eskdalemuir",55.32,-3.19999999999999,52.65,77.41
"35","EWA","Ewa Beach",21.32,-158,21.43,-90
"36","EYR","Eyrewell",-43.4,172.4,-50.13,-103.35
"37","FCC","Fort Churchill",58.76,-94.08,69.04,-28.23
"38","FHB","Paamiut",62,-49.68,67.63,39.03
"39","FMC","Fort McMurray",56.66,-111.21,64.29,-51.11
"40","FRD","Fredericksburg",38.2,-77.37,49.08,-2.14
"41","FRN","Fresno",37.1,-119.7,43.05,-56.3
"42","FSP","Fort Simpson",61.76,-121.23,67.34,-66.07
"43","FUR","Furstenfeldbruk",48.17,11.28,43.33,86.85
"44","FYU","Fort Yukon",66.57,-145.3,67.28,-93.86
"45","GDH","Godhavn",69.25,-53.53,75.79,40.39
"46","GHB","Nuuk",64.17,-51.73,70.18,37.83
"47","GIM","Gillam",56.38,-94.64,66.24,-27.15
"48","GLN","Glenlea",49.65,-97.12,60.06,-31.75
"49","GNA","Gnangara",-31.8,116,-43.98,-172.78
"50","GUA","Guam",13.59,144.87,5.96,-144.13
"51","GUI","Guimar",28.32,-16.43,12.91,60.66
"52","HAD","Hartland",50.98,-4.48000000000002,47.55,74.87
"53","HBK","Hartebeesthoek",-25.88,27.71,-36.09,94.69
"54","HER","Hermanus",-34.43,19.23,-42.31,82.28
"55","HLP","Hel",54.61,18.82,50.74,94.98
"56","HON","Honolulu",21.32,-158,21.5,-90.13
"57","HRB","Hurbanovo",47.86,18.19,43.03,92.69
"58","HRN","Hornsund",77,15.6,74.18,108.69
"59","HTY","Hatizyo",33.12,139.8,25.9,-148.91
"60","IQA","Iqaluit",63.75,-68.52,72.32,15
"61","IRT","Irkoutsk",52.17,104.45,47.58,177.74
"62","KAG","Kagoshima",31.48,130.72,24.8,-157.02
"63","KAK","Kakioka",36.23,140.18,29.13,-148.35
"64","KDU","Kakadu",-12.69,132.47,-21.78,-155.03
"65","KNY","Kanoya",31.42,130.88,24.64,-157.04
"66","KUV","Kullorsuaq",74.57,-57.18,80.81,42.87
"67","LER","Lerwick",60.13,-1.18000000000001,57.97,81.13
"68","LOV","Lovo",59.35,17.83,55.85,96.36
"69","LRM","Learmonth",-22.22,114.1,-33.09,-174.14
"70","LRV","Leirvogur",64.18,-21.7,65.02,67.19
"71","LYR","Longyearbyen",78.2,15.83,75.34,110.77
"72","MAB","Manhay",50.3,5.68,46,82.63
"73","MAW","Mawson",-67.61,62.88,-70.35,90.48
"74","MCM","McMurdo Station",-77.85,166.67,-79.91,-31.86
"75","MCQ","Macquarie Island",-54.5,158.95,-64.34,-111.6
"76","MEA","Meanook",54.62,-113.35,62.12,-54.58
"77","MGD","Magadan",59.97,150.86,53.89,-140.23
"78","MMB","Memambetsu",43.91,144.19,37.04,-144.39
"79","MSR","Moshiri",44.37,142.27,37.65,-145.93
"80","MUT","Muntinlupa",14.37,121.02,6.87,-167.21
"81","NAL","Ny �lesund",78.92,11.95,76.27,109.73
"82","NAQ","Narsarsuaq",61.16,-45.44,66.2,43.47
"83","NCK","Nagycenk",47.63,16.72,42.72,91.38
"84","NEW","Newport",48.27,-117.12,54.94,-56.65
"85","NGK","Niemegk",52.07,12.68,47.94,89
"86","NUR","Nurmajarvi",60.5,24.65,56.96,102.1
"87","ONW","Onagawa",38.43,141.47,31.52,-146.75
"88","OTT","Ottawa",45.4,-75.55,56.13,0.83
"89","PAF","Port aux Francais",-49.35,70.26,-58.51,122
"90","PBQ","Poste de la Baleine",55.28,-77.74,66,-1.68
"91","PGC","Pangnirtung",66.1,-65.8,74.14,20.1
"92","PHU","Phuthuy",21.03,105.95,14.31,178.11
"93","PIN","Pinawa",50.2,-96.04,60.15,-28.46
"94","PPT","Pamatai",-17.57,-149.58,-16.52,-74.68
"95","PST","Port Stanley",-51.7,-57.89,-38.48,10.59
"96","RAL","Rabbit Lake",58.22,-103.68,67.01,-41.19
"97","RAN","Rankine Inlet",62.82,-92.11,72.47,-24.22
"98","RES","Resolute Bay",74.69,-94.89,83.38,-41.05
"99","SBA","Scott Base",-77.85,166.78,-79.9,-31.99
"100","SCO","Ittoqqortoormiit",70.48,-21.97,71.5,72.09
"101","SIT","Sitka",57.07,-135.33,59.76,-80.12
"102","SJG","San Juan",18.11,-66.15,28.09,10.31
"103","SKT","Maniitsoq",65.42,-52.9,71.59,37.19
"104","SMI","Fort Smith",60.02,-111.95,67.43,-53.48
"105","SOD","Sodankyl�",67.37,26.63,63.9,107.45
"106","SOR","Soeroeya",70.54,22.22,67.46,105.71
"107","SPA","South Pole Station",-90,0,-73.95,18.61
"108","SPT","San Pablo Toledo",39.55,-4.35000000000002,32.08,71.89
"109","STF","Kangerlussuaq",67.02,-50.72,72.76,40.95
"110","STJ","St Johns",47.6,-52.68,53.87,31.3
"111","SVS","Savissivik",76.02,-65.1,83.22,34.23
"112","TAL","Taloyoak",69.54,-93.55,78.56,-29.33
"113","THL","Qaanaq",77.47,-69.23,85.33,33.59
"114","THY","Tihany",46.9,17.54,41.86,91.97
"115","TIK","Tixie",71.58,129,66.15,-162.08
"116","TRO","Tromso",69.66,18.94,66.69,102.68
"117","TRW","Trelew",-43.25,-65.32,-29.91,4.99
"118","TSU","Tsumeb",-19.22,17.7,-30.14,87.12
"119","TUC","Tucson",32.17,-110.73,39.77,-45.36
"120","UMQ","Uummannaq",70.68,-52.13,76.46,42.84
"121","UPN","Upernavik",72.78,-56.15,79.03,40.68
"122","VAL","Valentia",51.93,-10.25,49.19,70.39
"123","VIC","Victoria",48.52,-123.42,53.85,-64.08
"124","WNG","Wingst",53.75,9.07,50,86.77
"125","YKC","Yellowknife",62.48,-114.48,69.5,-59.4
